Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,MonthName,Day,WeekOfYear,IsWeekend,SalesPerCustomer,PromoStatus,HolidayStatus,CompetitionGroup
116,3,2015-03-25,6601,721,1,0.0,0,0.0,Type A,Basic,680.0,4.0,2013.0,0,0.0,0.0,None,2015,3,March,25,13,0,9.155339805825243,No Promo,Non-Holiday,Very Near
134,3,2015-04-08,5016,537,1,0.0,0,1.0,Type A,Basic,1200.0,9.0,2008.0,0,0.0,0.0,None,2015,4,April,8,15,0,9.340782122905027,No Promo,Non-Holiday,Near
1046,6,2015-05-23,6617,567,1,0.0,0,0.0,Type D,Extended,29070.0,4.0,2005.0,0,0.0,0.0,None,2015,5,May,23,21,1,11.670194003527337,No Promo,Non-Holiday,
333,6,2015-01-17,8292,1088,1,0.0,0.0,0.0,Type A,Extended,3720.0,2.0,2010.0,0,0.0,0.0,None,2015,1,January,17,3,1,7.6213235294117645,No Promo,Holiday,Near
127,2,2015-07-07,3662,532,1,0.0,0,0.0,Type D,Basic,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,July,7,28,0,6.883458646616542,No Promo,Non-Holiday,Near
59,1,2015-02-16,8031,747,1,1.0,0,0.0,Type A,Extended,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,2,February,16,8,0,10.751004016064257,Promo,Non-Holiday,Near
637,5,2015-05-22,9769,735,1,1.0,0,0.0,Type D,Extended,9790.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,5,May,22,21,0,13.291156462585034,Promo,Non-Holiday,Moderate
150,6,2015-01-31,9706,895,1,0.0,0.0,0.0,Type C,Extended,31830.0,3.0,2010.0,0,0.0,0.0,None,2015,1,January,31,5,1,10.844692737430167,No Promo,Holiday,
280,5,2015-03-06,6688,530,1,1.0,0,0.0,Type D,Extended,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,3,March,6,10,0,12.618867924528303,Promo,Non-Holiday,Far
267,6,2015-07-04,9211,1101,1,0.0,0,0.0,Type C,Basic,2460.0,1.0,2012.0,0,0.0,0.0,None,2015,7,July,4,27,1,8.366030881017258,No Promo,Non-Holiday,Near
910,4,2015-07-02,5915,547,1,1.0,0,0.0,Type D,Extended,12480.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,July,2,27,0,10.813528336380257,Promo,Non-Holiday,Far
988,1,2015-05-04,6179,871,1,1.0,0,0.0,Type A,Basic,30.0,11.0,2012.0,0,0.0,0.0,None,2015,5,May,4,19,0,7.094144661308841,Promo,Non-Holiday,Very Near
739,3,2015-01-28,10337,790,1,1.0,0.0,0.0,Type D,Extended,2770.0,6.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,January,28,5,0,13.084810126582278,Promo,Holiday,Near
960,6,2015-05-09,7173,645,1,0.0,0,0.0,Type D,Basic,8990.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,5,May,9,19,1,11.12093023255814,No Promo,Non-Holiday,Moderate
687,3,2015-02-04,9641,828,1,1.0,0.0,0.0,Type D,Extended,2770.0,0.0,0.0,0,0.0,0.0,None,2015,2,February,4,6,0,11.643719806763285,Promo,Holiday,Near
1062,3,2015-01-21,4260,446,1,0.0,0.0,0.0,Type D,Basic,190.0,9.0,2012.0,1,40.0,2012.0,"Feb,May,Aug,Nov",2015,1,January,21,4,0,9.551569506726457,No Promo,Holiday,Very Near
846,6,2015-04-18,6096,566,1,0.0,0,0.0,Type A,Extended,8860.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,4,April,18,16,1,10.770318021201414,No Promo,Non-Holiday,Moderate
367,3,2015-01-14,5569,538,1,1.0,0.0,0.0,Type D,Extended,2640.0,9.0,2012.0,0,0.0,0.0,None,2015,1,January,14,3,0,10.351301115241636,Promo,Holiday,Near
56,6,2015-03-28,9074,635,1,0.0,0,0.0,Type D,Extended,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,3,March,28,13,1,14.28976377952756,No Promo,Non-Holiday,Moderate
335,7,2015-01-25,7266,1354,1,0.0,0.0,0.0,Type B,Basic,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,January,25,4,1,5.366322008862629,No Promo,Holiday,Very Near
417,2,2015-01-27,7689,785,1,1.0,0.0,0.0,Type A,Extended,840.0,0.0,0.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2015,1,January,27,5,0,9.794904458598726,Promo,Holiday,Very Near
310,1,2015-02-16,12418,979,1,1.0,0,0.0,Type A,Extended,2290.0,0.0,0.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,2,February,16,8,0,12.684371807967313,Promo,Non-Holiday,Near
618,1,2015-07-20,6691,512,1,0.0,0,0.0,Type D,Extended,9910.0,0.0,0.0,0,0.0,0.0,None,2015,7,July,20,30,0,13.068359375,No Promo,Non-Holiday,Moderate
